race_year_id,rank,runner,time,age,gender,nationality,time_in_seconds,event,race,city,country,date,start_time,participation,distance,elevation_gain,elevation_loss,aid_stations,participants,age_group
72496,1.0,D HAENE Francois,20H 45M 59S,36,M,FRA,74759.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
72496,2.0,DUNAND PALLAZ Aurelien,20H 58M 31S,29,M,FRA,75511.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,20-29
72496,3.0,BLANCHARD Mathieu,21H 12M 43S,34,M,FRA,76363.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
72496,4.0,POMMERET Ludovic,21H 38M 44S,46,M,FRA,77924.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,40-49
72496,5.0,GRANGIER Germain,21H 52M 47S,31,M,FRA,78767.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
72496,6.0,NAMBERGER Hannes,22H 22M 6S,32,M,GER,80526.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
72496,10.0,CLEMENT Mathieu,23H 8M 5S,26,M,SUI,83285.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,20-29
72496,11.0,WONG Ho Chung,23H 17M 40S,34,M,HKG,83860.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
72496,12.0,NOEL Yannick,23H 42M 28S,35,M,FRA,85348.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
72496,13.0,ORNATI Giulio,23H 45M 41S,35,M,ITA,85541.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
72496,14.0,TOLSTENKO Aleksei,23H 56M 20S,37,M,RUS,86180.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
72496,15.0,AIZPURU Jon,23H 57M 7S,33,M,ESP,86227.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
72496,17.0,VIET Vincent,24H 16M 25S,38,M,FRA,87385.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
72496,18.0,FERRARI Ugo,24H 34M 36S,29,M,FRA,88476.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,20-29
72496,19.0,BUBLAK Benjamin,24H 37M 6S,33,M,GER,88626.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
72496,20.0,DOMINGUEZ LEDO Javier,24H 39M 18S,47,M,ESP,88758.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,40-49
72496,21.0,ROVERA Rene,24H 49M 2S,53,M,FRA,89342.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,50-59
72496,22.0,SOUSA Bruno,24H 54M 19S,38,M,POR,89659.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
72496,24.0,CERISIER Nicolas,25H 9M 31S,38,M,FRA,90571.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
72496,25.0,LABY Jeremy,25H 12M 33S,33,M,FRA,90753.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
72496,26.0,HELIER Clement,25H 17M 54S,35,M,FRA,91074.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
72496,27.0,TAZI Samir,25H 17M 55S,38,M,FRA,91075.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
72496,28.0,GOLEA Cedric,25H 24M 10S,41,M,FRA,91450.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,40-49
72496,29.0,DURAND Regis,25H 34M 37S,44,M,FRA,92077.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,40-49
72496,31.0,ŠTVERÁK Tomáš,25H 50M 27S,24,M,CZE,93027.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,20-29
72496,32.0,MARIN Jeremie,25H 51M 36S,30,M,FRA,93096.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,20-29
72496,35.0,ROUX Stephen,25H 59M 45S,31,M,FRA,93585.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
72496,37.0,OLLE BERNADES Marc,26H 8M 56S,32,M,ESP,94136.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
72496,38.0,LECURU Thibaut,26H 19M 9S,39,M,FRA,94749.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
72496,39.0,RODRIGUEZ Fernandez Jose Antonio,26H 21M 23S,38,M,ESP,94883.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
72496,40.0,PERRIER Martin,26H 37M 46S,31,M,FRA,95866.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
72496,41.0,PURSCHKE Andre,26H 40M 26S,35,M,GER,96026.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
72496,43.0,BOUCHEIX Alexandre,26H 42M 4S,30,M,FRA,96124.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,20-29
72496,45.0,GRENOT Maxime,26H 45M 8S,32,M,FRA,96308.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
72496,46.0,HAJNAL Robert,26H 51M 20S,32,M,ROU,96680.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
72496,47.0,POLIGNE Maxime,27H 5M 30S,33,M,FRA,97530.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
72496,48.0,MIRASSOU Jerome,27H 21M 49S,39,M,FRA,98509.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
72496,49.0,ARROYO MORENO Gines,27H 25M 41S,42,M,ESP,98741.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,40-49
72496,50.0,FRACK Louis,27H 29M 55S,33,M,FRA,98995.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
72496,51.0,SONDAZ Nicolas,27H 38M 33S,47,M,FRA,99513.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,40-49
72496,53.0,SHEPHERD Samuel,27H 41M 20S,39,M,GBR,99680.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
72496,54.0,DE COUESNONGLE Hugues Marie,27H 42M 9S,38,M,FRA,99729.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
72496,55.0,BOURGEOIS Ludovic,27H 43M 39S,37,M,FRA,99819.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
72496,56.0,HALL Benjamin,27H 46M 36S,44,M,AUS,99996.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,40-49
72496,57.0,KAI Langel,27H 49M 25S,45,M,FIN,100165.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,40-49
72496,58.0,HRUSKA Zdenek,27H 53M 26S,32,M,CZE,100406.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
72496,60.0,KEITH Eoin,28H 4M 11S,53,M,IRL,101051.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,50-59
72496,61.0,GUBERT Marco,28H 7M 42S,33,M,ITA,101262.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
72496,62.0,MCCONNACHIE Stuart,28H 9M 20S,47,M,RSA,101360.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,40-49
72496,64.0,VAN GULCK Olivier,28H 11M 12S,38,M,BEL,101472.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
